State,term,id,comma,opAtrib,opAccess,paramStart,paramEnd,fAdd,fRemove,fReverse,fUpper,fLower,fLength,fRefresh,fDiffDates,fCollectData,fCompare,tInt,tFloat,tString,tBool,tCommit,tUser,tRepository,tFile,tIssue,tPullRequest,tComment,tDate,tInts,tFloats,tStrings,tBools,tCommits,tUsers,tRepositories,tFiles,tIssues,tPullRequests,tComments,tDates,prWrite,prWhile,prFor,in,prIf,prElse,escStart,escEnd,opConc,opLogicOr,opLogicAnd,opRel1,opRel2,opRel3,opAritAd,opAritMul,opNeg,tLitInt,tLitFloat,tLitBool,tLitString,$
0,,s50,,,,s44,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s7,s8,s9,,s10,s11,,,,,,,,,,,,s52,s53,s54,s55,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc
2,,s50,,,,s44,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s7,s8,s9,,s10,s11,,,,,,,,,,,,s52,s53,s54,s55,r4
3,s71,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s73,,,,,,,,,,,,,
4,,s50,,,,s44,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s7,s8,s9,,s10,s11,,,,,,,,,,,,s52,s53,s54,s55,r6
5,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r73,,,r73,,,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r73,,r73,s76,,,,,,,,,,,,
7,,s50,,,,s44,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s52,s53,s54,s55,
8,,s50,,,,s44,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s52,s53,s54,s55,
9,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,s50,,,,s44,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s52,s53,s54,s55,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,
12,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,r75,,,r75,,,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r75,,r75,r75,s83,,,,,,,,,,,
15,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
